TestCaseNo,TestFile,rendersInAcrobat
T01_001,T01_001_header-invalid-major-version.pdf,YesWithIssues
T01_002,T01_002_header-invalid-minor-version.pdf,Yes
T01_003,T01_003_header-no-minor-version.pdf,No
T01_004,T01_004_header_invalid-syntax-no-dash.pdf,No
T01_005,T01_005_header-invalid-syntax-replace-char.pdf,No
T01_006,T01_006_header-invalid-syntax-no-pdf.pdf,No
T01_007,T01_007_header-no-version-info.pdf,No
T02-01_001,T02-01_001_document-catalog-No-document-catalog.pdf,No
T02-01_002,T02-01_002_document-catalog-wrong-object-number.pdf,No
T02-01_003,T02-01_003_document-catalog-indirecte-pages-reference-missing.pdf,No
T02-01_004,T02-01_004_document-catalog-incorrect-pages-reference.pdf,No
T02-01_005,T02-01_005_document-catalog-type-key-missing.pdf,No
T02-01_006,T02-01_006_document-catalog-wrong-type-key.pdf,Yes
T02-01_007,T02-01_007_document-catalog-type-key-value-pair-missing.pdf,Yes
T02-02_001,T02-02_001_no-page-tree-node.pdf,No
T02-02_002,T02-02_002_page-tree-kids-links-recursive.pdf,YesWithIssues
T02-02_003,T02-02_003_page-tree-different-kids.pdf,YesWithIssues
T02-02_004,T02-02_004_page-tree-non-existing-object-as-kid.pdf,YesWithIssues
T02-02_005,T02-02_005_page-tree-no-kids.pdf,YesWithIssues
T02-02_006,T02-02_006_page-tree-no-type.pdf,YesWithIssues
T02-02_007,T02-02_007_page-tree-wrong-count.pdf,Yes
T02-02_008,T02-02_008_page-tree-node-no-count.pdf,YesWithIssues
T02-02_009,T02-02_009_page-tree-wrong-type.pdf,Yes
T02-03_001,T02-03_001_page-object-no-type.pdf,YesWithIssues
T02-03_002,T02-03_002_page-object-wrong-type.pdf,YesWithIssues
T02-03_003,T02-03_003_page-object-no-parent.pdf,YesWithIssues
T02-03_004,T02-03_004_page-object-wrong-parent.pdf,YesWithIssues
T02-03_005,T02-03_005_page-object-parent-contains-array.pdf,YesWithIssues
T02-03_006,T02-03_006_page-object-missing.pdf,YesWithIssues
T02-03_007,T02-03_007_page-object-resources-wrong-object.pdf,YesWithIssues
T02-03_008,T02-03_008_page-object-mediabox-missing.pdf,YesWithIssues
T02-03_009,T02-03_009_page-object-mediabox-not-rectangle.pdf,YesWithIssues
T02-03_010,T02-03_010_page-object-missing-contents.pdf,YesWithIssues
T02-03_011,T02-03_011_page-object-wrong-contents-reference.pdf,No
T02-03_012,T02-03_012_page-object-resources-missing.pdf,YesWithIssues
T02-04-01_001,T02-04-01_001_resources-basefont-missing.pdf,YesWithIssues
T02-04-01_002,T02-04-01_002_resources-basefont-wrong-font.pdf,YesWithIssues
T02-04-01_003,T02-04-01_003_resources-type-missing.pdf,YesWithIssues
T02-04-01_004,T02-04-01_004_resources-wrong-declaration-type.pdf,Yes
