File,statusJHOVE,parseErrorsVera,warningsVera
T03_008_entry-offset-too-short.pdf,"Not well-formed",False,False
T02-05-01_008_Font-set-operator-missing.pdf,"Not well-formed",True,True
T01_002_header-invalid-minor-version.pdf,"Well-Formed, but not valid",False,False
T02-03_011_page-object-wrong-contents-reference.pdf,"Well-Formed, but not valid",False,False
T04_005_EOF-followed-by-junk-data.pdf,"Well-Formed and valid",False,False
T02-01_003_document-catalog-indirecte-pages-reference-missing.pdf,"Not well-formed",True,True
T04_007_premature-EOF-only.pdf,"Not well-formed",True,True
T02-02_001_no-page-tree-node.pdf,"Not well-formed",True,True
T03_009_invalid-keyword-entry.pdf,"Not well-formed",True,True
T02-05-01_007_invalid-font-size-operator.pdf,"Not well-formed",True,True
T03_003_number-of-entries-missing.pdf,"Well-Formed, but not valid",True,True
T02-04-01_001_resources-basefont-missing.pdf,"Not well-formed",True,True
T02-02_008_page-tree-node-no-count.pdf,"Not well-formed",True,True
T02-04-01_006_resources_subtype_wrong.pdf,"Well-Formed and valid",False,False
T02-05-01_013_stream-keyword-missing.pdf,"Not well-formed",True,True
T01_003_header-no-minor-version.pdf,"Not well-formed",True,True
T02-03_003_page-object-no-parent.pdf,"Not well-formed",True,True
T03_007_offset_wrong.pdf,"Not well-formed",False,False
T03_001_no-cross-reference-table.pdf,"Not well-formed",True,True
T02-02_009_page-tree-wrong-type.pdf,"Not well-formed",False,False
T04_010_trailer-no-closing-brackets.pdf,"Unknown",True,True
T04_019_trailer-wrong-xref-byte-offset.pdf,"Not well-formed",True,True
T02-03_005_page-object-parent-contains-array.pdf,"Not well-formed",True,True
T01_005_header-invalid-syntax-replace-char.pdf,"Not well-formed",True,True
T02-03_008_page-object-mediabox-missing.pdf,"Not well-formed",True,True
T02-02_002_page-tree-kids-links-recursive.pdf,"Not well-formed",True,True
T03_010_wrong-generation-number.pdf,"Well-Formed and valid",True,True
T02-03_009_page-object-mediabox-not-rectangle.pdf,"Not well-formed",True,True
T02-01_004_document-catalog-incorrect-pages-reference.pdf,"Not well-formed",True,True
T02-05-01_009_Missing_open_paranthesis.pdf,"Well-Formed and valid",True,True
T02-03_001_page-object-no-type.pdf,"Not well-formed",True,True
T04_017_trailer-no-startxref-keyword.pdf,"Not well-formed",True,True
T02-01_005_document-catalog-type-key-missing.pdf,"Not well-formed",True,True
T02-03_012_page-object-resources-missing.pdf,"Not well-formed",True,True
T02-04-01_005_resources-subtype-missing.pdf,"Not well-formed",True,True
T02-05-01_003_Stream-BT-and-ET-missing.pdf,"Not well-formed",True,True
T01_004_header_invalid-syntax-no-dash.pdf,"Not well-formed",True,True
T02-02_005_page-tree-no-kids.pdf,"Not well-formed",True,True
T02-05-01_018_position-information-missing.pdf,"Not well-formed",True,True
T04_001_EOF-not-standalone.pdf,"Well-Formed and valid",False,False
T02-04-01_002_resources-basefont-wrong-font.pdf,"Not well-formed",True,True
T04_003_EOF-incomplete-EO.pdf,"Not well-formed",False,False
T04_009_trailer-no-opening-brackets.pdf,"Not well-formed",True,True
T02-05-01_002_Stream-ET-missing.pdf,"Not well-formed",True,True
T02-05-01_001_Stream-BT-missing.pdf,"Not well-formed",True,True
T02-05-01_017_bytes-between-endstream-endobj.pdf,"Not well-formed",True,True
T04_002_EOF-missing.pdf,"Not well-formed",False,False
T04_011_trailer-no-root-key-value-pair.pdf,"Not well-formed",True,True
T02-05-01_011_paranthesis-substituted-with-brackets.pdf,"Well-Formed and valid",False,False
T02-01_002_document-catalog-wrong-object-number.pdf,"Not well-formed",True,True
T02-04-01_003_resources-type-missing.pdf,"Not well-formed",True,True
T02-03_004_page-object-wrong-parent.pdf,"Well-Formed and valid",False,False
T02-05-01_010_Missing_closing_paranthesis.pdf,"Well-Formed and valid",True,True
T02-03_002_page-object-wrong-type.pdf,"Well-Formed and valid",True,True
T01_007_header-no-version-info.pdf,"Not well-formed",True,True
T01_006_header-invalid-syntax-no-pdf.pdf,"Not well-formed",True,True
T04_016_trailer-wrong-size-key-value-pair.pdf,"Well-Formed, but not valid",False,False
T02-05-01_016_stream-length-missing-in-dictionary.pdf,"Not well-formed",True,True
T04_004_EOF-incomplete_EOF.pdf,"Not well-formed",False,False
T02-03_006_page-object-missing.pdf,"Not well-formed",True,True
